artists,name,danceability,energy,popularity,year
['Super8 & Tab'],Trigger,0.502,0.932,8,2019
['Giuseppe Ottaviani'],Tranceland (Mixed),0.39899999999999997,0.9740000000000001,19,2019
['Harry Styles'],"Sunflower, Vol. 6",0.5660000000000001,0.846,76,2019
"['FUTURECODE', 'Roxanne Emery']",Dancing In The Rain (Mixed),0.561,0.892,24,2019
['Giuseppe Ottaviani'],8K,0.534,0.91,24,2019
"['Super8 & Tab', 'KhoMha']",Stardust,0.509,0.9309999999999999,8,2019
"['Ferry Corsten', 'BT']",1997,0.537,0.958,17,2019
['Harry Styles'],She,0.535,0.521,79,2019
"['KhoMha', 'David Gravell']",Alpha Centauri (Mixed),0.511,0.8740000000000001,23,2019
['Giuseppe Ottaviani'],Panama (Mixed),0.332,0.978,22,2019
['FUTURECODE'],The Connection (Mixed),0.41100000000000003,0.768,26,2019
"['Ruben de Ronde', 'Elevven', 'Lara']",Shadow Of Us (Electronic Family 2019 Anthem) [Mixed],0.5579999999999999,0.897,23,2019
['Roman Messer'],Magic Fly,0.522,0.9059999999999999,9,2019
"['Orjan Nilsen', 'Dennis Sheperd', 'Nifra', 'Estiva']",Cabin Fever (Mixed) - Orjan Nilsen Club Mix,0.6779999999999999,0.8590000000000001,24,2019
['Orjan Nilsen'],Wait 4 It (Mixed),0.48100000000000004,0.91,24,2019
"['Rodg', 'Matt Fax']",Eukarya (Mixed),0.541,0.9209999999999999,23,2019
"['Allen Watts', 'Steve Dekay']",Hologram (Mixed),0.424,0.9740000000000001,19,2019
"['Armin van Buuren', 'Sam Martin', 'Richard Durand']",Wild Wild Son (Mixed) - Richard Durand Remix,0.452,0.9359999999999999,20,2019
['Above & Beyond'],Anjunafamily (Mixed),0.525,0.937,23,2019
"['Simon Patterson', 'Lucy Pullin']",Blink (Mixed),0.499,0.919,19,2019
"['Markus Schulz', 'BT']",I Need Love (Mixed),0.539,0.5760000000000001,26,2019
['Alex Raider'],Ten Years Ago,0.804,0.777,0,2019
"['Gareth Emery', 'Emma Hewitt', 'STANDERWICK']",Take Everything (Mixed) - STANDERWICK Remix,0.40299999999999997,0.7829999999999999,22,2019
